"WebID","Area","Data_label","2016","2016%","2011","2011%","2006","2006%","2001","2001%","Data Type",
"20","Greater Capital Cities","North Macedonia","31821","0.2096","32659","0.2376","32790","0.2603","34904","0.2955","UR",
"20","Greater Capital Cities","Germany","66460","0.4379","70315","0.5116","69337","0.5505","71223","0.6030","UR",
"20","Greater Capital Cities","Greece","86689","0.5711","92385","0.6722","101273","0.8041","107285","0.9083","UR",
"20","Greater Capital Cities","Hong Kong","79358","0.5228","69066","0.5025","66494","0.5280","62578","0.5298","UR",
"20","Greater Capital Cities","India","403880","2.6609","264509","1.9245","132789","1.0543","84857","0.7184","UR",
"20","Greater Capital Cities","Indonesia","65364","0.4306","56315","0.4097","45414","0.3606","42246","0.3577","UR",
"20","Greater Capital Cities","Iraq","63805","0.4204","45920","0.3341","31172","0.2475","23258","0.1969","UR",
"20","Greater Capital Cities","Ireland","60182","0.3965","53412","0.3886","39533","0.3139","39844","0.3373","UR",
"20","Greater Capital Cities","Italy","145923","0.9614","155044","1.1281","166584","1.3226","182717","1.5469","UR",
"20","Greater Capital Cities","Japan","31457","0.2072","25926","0.1886","22927","0.1820","18906","0.1601","UR",
"20","Greater Capital Cities","Lebanon","75963","0.5005","73974","0.5382","72373","0.5746","68842","0.5828","UR",
"20","Greater Capital Cities","Malaysia","123990","0.8169","104155","0.7578","82354","0.6539","70015","0.5928","UR",
"20","Greater Capital Cities","Malta","31663","0.2086","35051","0.2550","37426","0.2972","40815","0.3456","UR",
"20","Greater Capital Cities","Netherlands","41893","0.2760","45879","0.3338","48221","0.3829","51510","0.4361","UR",
"20","Greater Capital Cities","New Zealand","347548","2.2897","318660","2.3185","258992","2.0564","240617","2.0371","UR",
"20","Greater Capital Cities","Papua New Guinea","16827","0.1109","15941","0.1160","14802","0.1175","14790","0.1252","UR",
"20","Greater Capital Cities","Philippines","181939","1.1987","137079","0.9974","99020","0.7862","85542","0.7242","UR",
"20","Greater Capital Cities","Poland","38225","0.2518","41044","0.2986","43783","0.3476","48380","0.4096","UR",
"20","Greater Capital Cities","South Korea","86307","0.5686","65623","0.4775","47230","0.3750","35073","0.2969","UR",
"20","Greater Capital Cities","Singapore","49123","0.3236","43348","0.3154","35299","0.2803","29439","0.2492","UR",
"20","Greater Capital Cities","South Africa","123836","0.8159","111888","0.8141","82773","0.6572","65522","0.5547","UR",
"20","Greater Capital Cities","Serbia / Montenegro (fmr Yugoslavia)","36770","0.2422","37993","0.2764","42082","0.3341","49284","0.4173","UR",
"20","Greater Capital Cities","Sri Lanka","99323","0.6544","78221","0.5691","56929","0.4520","48838","0.4135","UR",
"20","Greater Capital Cities","Thailand","52745","0.3475","36261","0.2638","24836","0.1972","19108","0.1618","UR",
"20","Greater Capital Cities","Turkey","29086","0.1916","29607","0.2154","27432","0.2178","26426","0.2237","UR",
"20","Greater Capital Cities","United Kingdom","762278","5.0221","770277","5.6045","729733","5.7940","735780","6.2294","UR",
"20","Greater Capital Cities","United States of America","61472","0.4050","54735","0.3982","43474","0.3452","37838","0.3203","UR",
"20","Greater Capital Cities","Vietnam","206914","1.3632","175529","1.2771","152929","1.2142","148393","1.2563","UR",
"20","Greater Capital Cities","France","23962","0.1579","18611","0.1354","14366","0.1141","13278","0.1124","UR",
"20","Greater Capital Cities","Argentina","11426","0.0753","10363","0.0754","9963","0.0791","9667","0.0818","UR",
"20","Greater Capital Cities","Austria","9937","0.0655","11106","0.0808","11883","0.0943","12941","0.1096","UR",
"20","Greater Capital Cities","Cambodia","31338","0.2065","27041","0.1967","23662","0.1879","22197","0.1879","UR",
"20","Greater Capital Cities","Chile","22524","0.1484","21759","0.1583","20447","0.1623","20820","0.1763","UR",
"20","Greater Capital Cities","Cyprus","15432","0.1017","16559","0.1205","16844","0.1337","18089","0.1531","UR",
